Id,GroupId,NameEn,NameEnUC,Name,Unknown1,Unknown2,Unknown3,Unknown4,Unknown5,Unknown6,Unknown7,Unknown8,Unknown9,Unknown10
1001,100,"Butter, salted","BUTTER,WITH SALT",Сливочное масло соленое,,,Y,,0,,6.38,4.27,8.79,3.87
1002,100,"Butter, whipped, with salt","BUTTER,WHIPPED,W/ SALT",Масло сливочное взбитое с солью,,,Y,,0,,6.38,,,
1003,100,"Butter oil, anhydrous","BUTTER OIL,ANHYDROUS",Масло сливочное безводное,,,Y,,0,,6.38,4.27,8.79,3.87
1004,100,"Cheese, blue","CHEESE,BLUE",Сыр голубой,,,Y,,0,,6.38,4.27,8.79,3.87
1005,100,"Cheese, brick","CHEESE,BRICK","Сыр, кирпич",,,Y,,0,,6.38,4.27,8.79,3.87
1006,100,"Cheese, brie","CHEESE,BRIE","Сыр, Бри",,,Y,,0,,6.38,4.27,8.79,3.87
1007,100,"Cheese, camembert","CHEESE,CAMEMBERT","Сыр, камамбер",,,Y,,0,,6.38,4.27,8.79,3.87
1008,100,"Cheese, caraway","CHEESE,CARAWAY",Сыр тмин,,,,,0,,6.38,4.27,8.79,3.87
1009,100,"Cheese, cheddar","CHEESE,CHEDDAR","Сыр, чеддер",,,Y,,0,,,,,
1010,100,"Cheese, cheshire","CHEESE,CHESHIRE","Сыр, чешир",,,,,0,,6.38,4.27,8.79,3.87
1011,100,"Cheese, colby","CHEESE,COLBY","Сыр, Колби",,,Y,,0,,6.38,4.27,8.79,3.87
1012,100,"Cheese, cottage, creamed, large or small curd","CHEESE,COTTAGE,CRMD,LRG OR SML CURD","Творог, творог, сливки, большой или маленький творог",,,Y,,0,,6.38,4.27,8.79,3.87
1013,100,"Cheese, cottage, creamed, with fruit","CHEESE,COTTAGE,CRMD,W/FRUIT","Сыр, дача, сливки, с фруктами",,,Y,,0,,6.38,4.27,8.79,3.87
1014,100,"Cheese, cottage, nonfat, uncreamed, dry, large or small curd","CHEESE,COTTAGE,NONFAT,UNCRMD,DRY,LRG OR SML CURD","Сыр, коттедж, обезжиренный, нежирный, сухой, крупный или мелкий творог",,,Y,,0,,6.38,4.27,8.79,3.87
1015,100,"Cheese, cottage, lowfat, 2% milkfat","CHEESE,COTTAGE,LOWFAT,2% MILKFAT","Сыр, творог, нежирный, 2% молочный",,,Y,,0,,,,,
1016,100,"Cheese, cottage, lowfat, 1% milkfat","CHEESE,COTTAGE,LOWFAT,1% MILKFAT","Сыр, творог, нежирный, 1% молочный",,,Y,,0,,6.38,4.27,8.79,3.87
1017,100,"Cheese, cream","CHEESE,CREAM",Сырный крем,,,Y,,0,,6.38,4.27,8.79,3.87
1018,100,"Cheese, edam","CHEESE,EDAM","Сыр, эдам",,,Y,,0,,6.38,4.27,8.79,3.87
1019,100,"Cheese, feta","CHEESE,FETA","Сыр, Фета",,,Y,,0,,6.38,4.27,8.79,3.87
1020,100,"Cheese, fontina","CHEESE,FONTINA","Сыр, фонтина",,,Y,,0,,6.38,4.27,8.79,3.87
